question,answer,instance,generated_options,option_a,option_b,option_c,option_d,bdq_results,bcq_results_for_position_b,bcq_results_for_position_c,bcq_results_for_position_d
"Stuart is going on a cross-country trip and wants to find the fastest route. On one route the total distance is 1500 miles and the average speed is 75 MPH. On the second trip, the total distance is 750 but the average speed is 25 MPH. How long does his trip take if he goes on the fastest route?","The first route will take 20 hours because 1,500 / 75 = <<1500/75=20>>20
The second route will take 30 hours because 750 / 25 = <<750/25=30>>30
The fastest route takes 20 hours because 20 < 30
#### 20","Question: Stuart is going on a cross-country trip and wants to find the fastest route. On one route the total distance is 1500 miles and the average speed is 75 MPH. On the second trip, the total distance is 750 but the average speed is 25 MPH. How long does his trip take if he goes on the fastest route?","A)
Question: Stuart is embarking on a nationwide journey and wishes to identify the quickest path. On one path, the full distance is 1500 miles and the mean speed is 75 MPH. On the other voyage, the total range is 750 but the median speed is 25 MPH. How long will his journey last if he opts for the speediest path?

B)
Question: Stuart is setting off on a transnational trek and desires to locate the speediest route. On one course, the overall mileage is 1500 and the normal speed is 75 MPH. On an alternative journey, the complete span is 750 but the usual speed is 25 MPH. What duration will his expedition consume if he selects the swiftest course?

C)
Question: Stuart is initiating a across-the-country excursion and aims to discover the most rapid route. On one track, the entire distance is 1500 miles and the average velocity is 75 MPH. On a different trip, the whole distance is 750 but the common speed is 25 MPH. How much time will his trip expend if he decides on the quickest track?

D)
Question: Stuart is commencing a countrywide expedition and seeks to find the swiftest path. On one route, the aggregate distance is 1500 miles and the average pace is 75 MPH. On another journey, the comprehensive distance is 750 but the routine speed is 25 MPH. How much time would his voyage take if he chooses the fastest route?","Question: Stuart is embarking on a nationwide journey and wishes to identify the quickest path. On one path, the full distance is 1500 miles and the mean speed is 75 MPH. On the other voyage, the total range is 750 but the median speed is 25 MPH. How long will his journey last if he opts for the speediest path?","Question: Stuart is setting off on a transnational trek and desires to locate the speediest route. On one course, the overall mileage is 1500 and the normal speed is 75 MPH. On an alternative journey, the complete span is 750 but the usual speed is 25 MPH. What duration will his expedition consume if he selects the swiftest course?","Question: Stuart is initiating a across-the-country excursion and aims to discover the most rapid route. On one track, the entire distance is 1500 miles and the average velocity is 75 MPH. On a different trip, the whole distance is 750 but the common speed is 25 MPH. How much time will his trip expend if he decides on the quickest track?","Question: Stuart is commencing a countrywide expedition and seeks to find the swiftest path. On one route, the aggregate distance is 1500 miles and the average pace is 75 MPH. On another journey, the comprehensive distance is 750 but the routine speed is 25 MPH. How much time would his voyage take if he chooses the fastest route?",E,A,C,D
"Ittymangnark and Kingnook are an Eskimo couple living in the most northern region of the Alaskan wilderness.  Together, they live with their child, Oomyapeck.  Every day Ittymangnark catches enough fish for the three of them to eat for the day and they split the fish equally between the three of them.  But after they have split the fish, they give Oomyapeck all of the eyes, who gives two of the eyes to his dog and eats the rest himself.  How many fish will each of them be given to eat if Oomyapeck eats 22 eyes in a day?","If the dog eats two eyes and Oomyapeck eats 22 eyes, then there are a total of 2+22=<<2+22=24>>24 eyes.
With 2 eyes per fish, 24 eyes represent 24/2=<<24/2=12>>12 fish.
If they split that number of fish equally amongst the three of them, then each of them will be given 12/3=<<12/3=4>>4 fish to eat.
#### 4","Question: Ittymangnark and Kingnook are an Eskimo couple living in the most northern region of the Alaskan wilderness.  Together, they live with their child, Oomyapeck.  Every day Ittymangnark catches enough fish for the three of them to eat for the day and they split the fish equally between the three of them.  But after they have split the fish, they give Oomyapeck all of the eyes, who gives two of the eyes to his dog and eats the rest himself.  How many fish will each of them be given to eat if Oomyapeck eats 22 eyes in a day?","A)
Question: Ittymangnark and Kingnook are an Inuit pair residing in the utmost northern sector of the Alaskan wilderness. Jointly, they dwell with their offspring, Oomyapeck. Each day, Ittymangnark obtains an adequate amount of fish for their trio to consume for the day and they divide the catch equally among them. However, after they have apportioned the fish, they give Oomyapeck all of the orbs, who offers two of the orbs to his hound and devours the remainder himself. How many fish will each of them be provided to consume if Oomyapeck eats 22 orbs in a day?

B)
Question: Ittymangnark and Kingnook are an Arctic pair living in the utmost northern area of the Alaskan wilderness. Collectively, they exist with their progeny, Oomyapeck. Each day, Ittymangnark captures sufficient fish for the triad to consume for the day and they share the fish equally amid the three of them. Yet, after they have shared the fish, they bestow Oomyapeck all of the eyeballs, who presents two of the eyeballs to his canine and consumes the rest himself. How many fish will each of them be assigned to eat if Oomyapeck chews 22 eyeballs in a day?

C)
Question: Ittymangnark and Kingnook are an Eskimo duo dwelling in the furthest northern part of the Alaskan wilderness. In union, they reside with their young one, Oomyapeck. Every day, Ittymangnark snags enough fish for the trio to feed on for the day and they apportion the fish evenly among the three of them. But, after they have apportioned the fish, they endow Oomyapeck with all of the peepers, who renders two of the peepers to his mutt and eats the remainder himself. How many fish will each of them be dispensed to eat if Oomyapeck swallows 22 peepers in a day?

D)
Question: Ittymangnark and Kingnook are an Inuit couple inhabiting the furthest northern zone of the Alaskan wilderness. Unitedly, they live with their descendant, Oomyapeck. Each day, Ittymangnark nets adequate fish for their threesome to eat for the day and they split the fish evenly among the three of them. Nevertheless, after they have split the fish, they allot Oomyapeck all of the globes, who gives two of the globes to his pet dog and devours the rest himself. How many fish will each of them be available to eat if Oomyapeck ingests 22 globes in a day?","Question: Ittymangnark and Kingnook are an Inuit pair residing in the utmost northern sector of the Alaskan wilderness. Jointly, they dwell with their offspring, Oomyapeck. Each day, Ittymangnark obtains an adequate amount of fish for their trio to consume for the day and they divide the catch equally among them. However, after they have apportioned the fish, they give Oomyapeck all of the orbs, who offers two of the orbs to his hound and devours the remainder himself. How many fish will each of them be provided to consume if Oomyapeck eats 22 orbs in a day?","Question: Ittymangnark and Kingnook are an Arctic pair living in the utmost northern area of the Alaskan wilderness. Collectively, they exist with their progeny, Oomyapeck. Each day, Ittymangnark captures sufficient fish for the triad to consume for the day and they share the fish equally amid the three of them. Yet, after they have shared the fish, they bestow Oomyapeck all of the eyeballs, who presents two of the eyeballs to his canine and consumes the rest himself. How many fish will each of them be assigned to eat if Oomyapeck chews 22 eyeballs in a day?","Question: Ittymangnark and Kingnook are an Eskimo duo dwelling in the furthest northern part of the Alaskan wilderness. In union, they reside with their young one, Oomyapeck. Every day, Ittymangnark snags enough fish for the trio to feed on for the day and they apportion the fish evenly among the three of them. But, after they have apportioned the fish, they endow Oomyapeck with all of the peepers, who renders two of the peepers to his mutt and eats the remainder himself. How many fish will each of them be dispensed to eat if Oomyapeck swallows 22 peepers in a day?","Question: Ittymangnark and Kingnook are an Inuit couple inhabiting the furthest northern zone of the Alaskan wilderness. Unitedly, they live with their descendant, Oomyapeck. Each day, Ittymangnark nets adequate fish for their threesome to eat for the day and they split the fish evenly among the three of them. Nevertheless, after they have split the fish, they allot Oomyapeck all of the globes, who gives two of the globes to his pet dog and devours the rest himself. How many fish will each of them be available to eat if Oomyapeck ingests 22 globes in a day?",E,B,C,D
"Kim's dad would buy her 2 candy bars a week.  She would eat 1 candy bar every 4 weeks, saving the rest.  After 16 weeks, how many candy bars did Kim have saved?","Kim got 2 candy bars a week for 16 weeks so she got 2*16 = <<2*16=32>>32 candy bars
She would only eat 1 candy bar every 4 weeks so in 16 weeks she only ate 16/4 = <<16/4=4>>4 candy bars
She saved 32 candy bars and only ate 4 so she still has 32-4 = <<32-4=28>>28 candy bars
#### 28","Question: Kim's dad would buy her 2 candy bars a week.  She would eat 1 candy bar every 4 weeks, saving the rest.  After 16 weeks, how many candy bars did Kim have saved?","A)
Question: Kim's father would purchase her 2 sweet treats a week. She would consume 1 sweet treat every 4 weeks, preserving the remainder. After 16 weeks, how many sweet treats did Kim have preserved?

B)
Question: Kim's dad would acquire for her 2 chocolates every week. She would consume 1 chocolate every 4 weeks, stashing the leftovers. After 16 weeks, how many chocolates did Kim have stashed?

C)
Question: Kim's papa would buy her 2 candy sticks per week. She would consume 1 candy stick every 4 weeks, hoarding the rest. After 16 weeks, how many candy sticks did Kim have in her hoard?

D)
Question: Kim's father would procure her 2 sweets every seven days. She would ingest 1 sweet every 4 weeks, storing the unused ones. After 16 weeks, how many sweets did Kim have stored?","Question: Kim's father would purchase her 2 sweet treats a week. She would consume 1 sweet treat every 4 weeks, preserving the remainder. After 16 weeks, how many sweet treats did Kim have preserved?","Question: Kim's dad would acquire for her 2 chocolates every week. She would consume 1 chocolate every 4 weeks, stashing the leftovers. After 16 weeks, how many chocolates did Kim have stashed?","Question: Kim's papa would buy her 2 candy sticks per week. She would consume 1 candy stick every 4 weeks, hoarding the rest. After 16 weeks, how many candy sticks did Kim have in her hoard?","Question: Kim's father would procure her 2 sweets every seven days. She would ingest 1 sweet every 4 weeks, storing the unused ones. After 16 weeks, how many sweets did Kim have stored?",A,A,A,D
"Of the 100 soccer balls that Nova went to inflate, 40 percent had holes in them and could not inflate, while 20% of the remaining balls were overinflated and exploded. How many balls were inflated successfully and could be used?","If 40% of the balls had holes in them and could not inflate, their number was 40/100*100= <<40/100*100=40>>40
The remaining balls that Nova could inflate were 100-40 = <<100-40=60>>60
While inflating, 20% of the good soccer balls were overinflated and exploded up, a total of 20/100*60 = <<20/100*60=12>>12
The number of soccer balls that inflated successfully and could be used is 60-12 = <<60-12=48>>48
#### 48","Question: Of the 100 soccer balls that Nova went to inflate, 40 percent had holes in them and could not inflate, while 20% of the remaining balls were overinflated and exploded. How many balls were inflated successfully and could be used?","A)
Question: Out of the 100 footballs that Nova intended to pump up, 40% had punctures and couldn't hold air, whereas 20% of the residual balls were too pumped up and burst. How many balls were pumped up effectively and were usable?

B)
Question: From the 100 soccer balls that Nova aimed to inflate, 40 percent contained punctures and were unable to be inflated, while 20% of the leftover balls were overinflated and ruptured. How many balls were successfully inflated and were available for use?

C)
Question: Among the 100 footballs that Nova planned to inflate, 40 percent were flawed with holes and failed to inflate, while 20% of the yet undamaged balls were puffed too much and shattered. How many balls were inflated without any problem and could be put into play?

D)
Question: In the batch of 100 soccer balls that Nova sought to inflate, 40% had leakage and weren't inflatable, whereas 20% of the remaining intact balls were blown up excessively and they popped. How many balls were appropriately inflated and were in working condition?","Question: Out of the 100 footballs that Nova intended to pump up, 40% had punctures and couldn't hold air, whereas 20% of the residual balls were too pumped up and burst. How many balls were pumped up effectively and were usable?","Question: From the 100 soccer balls that Nova aimed to inflate, 40 percent contained punctures and were unable to be inflated, while 20% of the leftover balls were overinflated and ruptured. How many balls were successfully inflated and were available for use?","Question: Among the 100 footballs that Nova planned to inflate, 40 percent were flawed with holes and failed to inflate, while 20% of the yet undamaged balls were puffed too much and shattered. How many balls were inflated without any problem and could be put into play?","Question: In the batch of 100 soccer balls that Nova sought to inflate, 40% had leakage and weren't inflatable, whereas 20% of the remaining intact balls were blown up excessively and they popped. How many balls were appropriately inflated and were in working condition?",E,A,A,E
It takes 20 minutes for John to go to the bathroom 8 times.  How long would it take to go 6 times?,"He spends 20/8=<<20/8=2.5>>2.5 minutes each time he goes in
So it would take 2.5*6=<<2.5*6=15>>15 minutes to go 6 times
#### 15",Question: It takes 20 minutes for John to go to the bathroom 8 times.  How long would it take to go 6 times?,"A)
Question: It requires 20 minutes for John to visit the restroom 8 times. How long would it necessitate to go 6 times?

B)
Question: John necessitates 20 minutes to use the toilet 8 times. How much time would it require to go 6 times?

C)
Question: John uses 20 minutes to hit the bathroom 8 times. How much time would it take to go 6 times?

D)
Question: It takes John 20 minutes to go to the restroom 8 times. What is the duration required to go 6 times?",Question: It requires 20 minutes for John to visit the restroom 8 times. How long would it necessitate to go 6 times?,Question: John necessitates 20 minutes to use the toilet 8 times. How much time would it require to go 6 times?,Question: John uses 20 minutes to hit the bathroom 8 times. How much time would it take to go 6 times?,Question: It takes John 20 minutes to go to the restroom 8 times. What is the duration required to go 6 times?,D,B,C,D
"Dana normally drinks a 500 ml bottle of soda each day. Since the 500 ml bottles are currently out of stock at the store, she buys a 2-liter bottle of soda instead. If Dana continues to drink 500 ml of soda each day, how long will the 2-liter bottle of soda last? There are 1,000 ml in 1 liter.","There are 2*1,000 ml = <<2*1000=2000>>2,000 ml in a 2-liter bottle of soda.
A 2-liter bottle of soda lasts 2,000/500 = <<2000/500=4>>4 days.
#### 4","Question: Dana normally drinks a 500 ml bottle of soda each day. Since the 500 ml bottles are currently out of stock at the store, she buys a 2-liter bottle of soda instead. If Dana continues to drink 500 ml of soda each day, how long will the 2-liter bottle of soda last? There are 1,000 ml in 1 liter.","A)
Question: Dana typically consumes a 500 ml container of soda daily. Given that the 500 ml containers are presently unavailable at the shop, she purchases a 2-liter container of soda as an alternative. If Dana persists in consuming 500 ml of soda daily, how many days will the 2-liter container of soda suffice? There are 1,000 ml in 1 liter.

B)
Question: Dana usually ingests a 500 ml bottle of pop each day. As the 500 ml bottles are currently not in supply at the store, she acquires a 2-liter bottle of pop instead. If Dana maintains her habit of ingesting 500 ml of pop each day, how much time would the 2-liter bottle of pop last? There are 1,000 ml in 1 liter.

C)
Question: Dana customarily has a 500 ml bottle of soda every day. Since the 500 ml bottles are presently in deficit at the market, she procures a 2-liter bottle of soda as a substitute. If Dana sustains her consumption of 500 ml of soda daily, how extensive will the 2-liter bottle of soda persist? There are 1,000 ml in 1 liter.

D)
Question: Dana ordinarily gulps a 500 ml bottle of soda per day. Because the 500 ml bottles are now absent from the store's inventory, she gets a 2-liter bottle of soda alternatively. If Dana keeps up drinking 500 ml of soda each day, how much duration will the 2-liter bottle of soda be adequate for? There are 1,000 ml in 1 liter.","Question: Dana typically consumes a 500 ml container of soda daily. Given that the 500 ml containers are presently unavailable at the shop, she purchases a 2-liter container of soda as an alternative. If Dana persists in consuming 500 ml of soda daily, how many days will the 2-liter container of soda suffice? There are 1,000 ml in 1 liter.","Question: Dana usually ingests a 500 ml bottle of pop each day. As the 500 ml bottles are currently not in supply at the store, she acquires a 2-liter bottle of pop instead. If Dana maintains her habit of ingesting 500 ml of pop each day, how much time would the 2-liter bottle of pop last? There are 1,000 ml in 1 liter.","Question: Dana customarily has a 500 ml bottle of soda every day. Since the 500 ml bottles are presently in deficit at the market, she procures a 2-liter bottle of soda as a substitute. If Dana sustains her consumption of 500 ml of soda daily, how extensive will the 2-liter bottle of soda persist? There are 1,000 ml in 1 liter.","Question: Dana ordinarily gulps a 500 ml bottle of soda per day. Because the 500 ml bottles are now absent from the store's inventory, she gets a 2-liter bottle of soda alternatively. If Dana keeps up drinking 500 ml of soda each day, how much duration will the 2-liter bottle of soda be adequate for? There are 1,000 ml in 1 liter.",A,B,A,D
"Jerry was asked by her mom to do grocery shopping. He needs to buy 2 liters of mustard oil that costs $13 per liter, 3 pounds of gluten-free penne pasta that costs $4 per pound, and 1  pound of pasta sauce that costs $5. If Jerry can keep the rest of the $50 after grocery shopping, how much money will he have?","The cost of 2 liters of mustard oil is $13 x 2 = $<<13*2=26>>26.
The cost of 3 pounds of gluten-free penne pasta is $4 x 3 = $<<3*4=12>>12.
So, Jerry spent a total of $26 + $12 + $5 = $<<26+12+5=43>>43 for grocery shopping.
Thus, Jerry will have $50 - $43 = $<<50-43=7>>7 for himself.
#### 7","Question: Jerry was asked by her mom to do grocery shopping. He needs to buy 2 liters of mustard oil that costs $13 per liter, 3 pounds of gluten-free penne pasta that costs $4 per pound, and 1  pound of pasta sauce that costs $5. If Jerry can keep the rest of the $50 after grocery shopping, how much money will he have?","A)
Question: Jerry's mother requested him to handle the supermarket shopping. He requires to purchase 2 liters of mustard oil priced at $13 per liter, 3 pounds of gluten-free penne pasta priced at $4 per pound, and 1 pound of pasta sauce priced at $5. Provided Jerry can save the remaining of the $50 after supermarket shopping, what amount of money will he possess?

B)
Question: Jerry was tasked by his mother to conduct the grocery store shopping. He must acquire 2 liters of mustard oil which charges $13 per liter, 3 pounds of gluten-free penne pasta which charges $4 per pound, and 1 pound of pasta sauce which charges $5. If Jerry can retain the rest of the $50 after grocery store shopping, how much cash will he hold?

C)
Question: Jerry was requested by his mom to carry out the food market shopping. He has to get 2 liters of mustard oil which is valued at $13 per liter, 3 pounds of gluten-free penne pasta which is valued at $4 per pound, and 1 pound of pasta sauce which is valued at $5. If Jerry can keep the balance of the $50 after food market shopping, what quantity of money will he own?

D)
Question: His mother tasked Jerry to undertake the grocery shopping. He necessitates to procure 2 liters of mustard oil at a cost of $13 per liter, 3 pounds of gluten-free penne pasta at a cost of $4 per pound, and 1 pound of pasta sauce at a cost of $5. If Jerry can reserve the remainder of the $50 after grocery shopping, how much sum of money will he end up with?","Question: Jerry's mother requested him to handle the supermarket shopping. He requires to purchase 2 liters of mustard oil priced at $13 per liter, 3 pounds of gluten-free penne pasta priced at $4 per pound, and 1 pound of pasta sauce priced at $5. Provided Jerry can save the remaining of the $50 after supermarket shopping, what amount of money will he possess?","Question: Jerry was tasked by his mother to conduct the grocery store shopping. He must acquire 2 liters of mustard oil which charges $13 per liter, 3 pounds of gluten-free penne pasta which charges $4 per pound, and 1 pound of pasta sauce which charges $5. If Jerry can retain the rest of the $50 after grocery store shopping, how much cash will he hold?","Question: Jerry was requested by his mom to carry out the food market shopping. He has to get 2 liters of mustard oil which is valued at $13 per liter, 3 pounds of gluten-free penne pasta which is valued at $4 per pound, and 1 pound of pasta sauce which is valued at $5. If Jerry can keep the balance of the $50 after food market shopping, what quantity of money will he own?","Question: His mother tasked Jerry to undertake the grocery shopping. He necessitates to procure 2 liters of mustard oil at a cost of $13 per liter, 3 pounds of gluten-free penne pasta at a cost of $4 per pound, and 1 pound of pasta sauce at a cost of $5. If Jerry can reserve the remainder of the $50 after grocery shopping, how much sum of money will he end up with?",E,E,A,E
Mandy is 3 years old. Her brother is 4 times as old as she is. Her sister is 5 years younger than her brother.  What is the age difference between Mandy and her sister?,"Mandy's brother's age is 3 years x 4 = <<3*4=12>>12 years old.
Her sister's age is 12 years - 5 years = <<12-5=7>>7 years old.
The age difference between Mandy and her sister is 7 years - 3 years = <<7-3=4>>4 years.
#### 4",Question: Mandy is 3 years old. Her brother is 4 times as old as she is. Her sister is 5 years younger than her brother.  What is the age difference between Mandy and her sister?,"A)
Question: Mandy is 3 years of age. Her sibling is 4 times as old as her. Her sister is 5 years less old than her sibling.  What is the age divergence between Mandy and her sister?

B)
Question: Mandy is 3 years in age. Her brother is 4 times as aged as she is. Her sibling is 5 years juniors than her brother. What is the age discrepancy between Mandy and her sibling?

C)
Question: Mandy is 3 years ancient. Her kin is 4 times as outdated as she is. Her sister is 5 years younger than her kin. What is the age dissimilarity between Mandy and her sister?

D)
Question: Mandy is 3 years aged. Her brother is 4-fold as old as she is. Her sister is 5 years lesser than her brother. What is the age distinction between Mandy and her sister?",Question: Mandy is 3 years of age. Her sibling is 4 times as old as her. Her sister is 5 years less old than her sibling.  What is the age divergence between Mandy and her sister?,Question: Mandy is 3 years in age. Her brother is 4 times as aged as she is. Her sibling is 5 years juniors than her brother. What is the age discrepancy between Mandy and her sibling?,Question: Mandy is 3 years ancient. Her kin is 4 times as outdated as she is. Her sister is 5 years younger than her kin. What is the age dissimilarity between Mandy and her sister?,Question: Mandy is 3 years aged. Her brother is 4-fold as old as she is. Her sister is 5 years lesser than her brother. What is the age distinction between Mandy and her sister?,E,B,C,D
"A supermarket has pints of strawberries on sale. They sold 54 pints and made $216, which was $108 less than they would have made selling the same number of pints without the sale. How many more dollars does a pint of strawberries cost when not on sale?","On sale, a pint of strawberries costs 216 / 54 = $<<216/54=4>>4.
The supermarket would have made 216 + 108 = $<<216+108=324>>324 if the strawberries were not on sale.
Thus, a pint of strawberries not on sale costs 324 / 54 = $<<324/54=6>>6.
Hence, a pint of strawberries costs 6 - 4 = $<<6-4=2>>2 more when not on sale.
#### 2","Question: A supermarket has pints of strawberries on sale. They sold 54 pints and made $216, which was $108 less than they would have made selling the same number of pints without the sale. How many more dollars does a pint of strawberries cost when not on sale?","A)
Question: A grocery store has pints of strawberries discounted. They offloaded 54 pints yielding $216, which was $108 under what they could have earned vending the equivalent number of pints without the markdown. How many additional dollars does a pint of strawberries value when not discounted?

B)
Question: A food market has pints of strawberries marked down. They dispensed 54 pints gathering $216, which was $108 fewer than they might have collected trading the same quantity of pints without the discount. How many excess dollars does a pint of strawberries price when not marked down?

C)
Question: A store has pints of strawberries on special offer. They transacted 54 pints earning $216, which was $108 less than they would have gathered peddling the identical amount of pints without the offer. How many surplus dollars does a pint of strawberries charge when not on offer?

D)
Question: A retail outlet has pints of strawberries reduced. They dealt 54 pints procuring $216, which was $108 below than they would have made dealing the identical tally of pints without the reduction. How many extra dollars does a pint of strawberries rate when not reduced?","Question: A grocery store has pints of strawberries discounted. They offloaded 54 pints yielding $216, which was $108 under what they could have earned vending the equivalent number of pints without the markdown. How many additional dollars does a pint of strawberries value when not discounted?","Question: A food market has pints of strawberries marked down. They dispensed 54 pints gathering $216, which was $108 fewer than they might have collected trading the same quantity of pints without the discount. How many excess dollars does a pint of strawberries price when not marked down?","Question: A store has pints of strawberries on special offer. They transacted 54 pints earning $216, which was $108 less than they would have gathered peddling the identical amount of pints without the offer. How many surplus dollars does a pint of strawberries charge when not on offer?","Question: A retail outlet has pints of strawberries reduced. They dealt 54 pints procuring $216, which was $108 below than they would have made dealing the identical tally of pints without the reduction. How many extra dollars does a pint of strawberries rate when not reduced?",A,B,C,D
"A Moroccan restaurant received 3 different shipments of couscous. The first two shipments of 7 and 13 pounds arrived on the same day. The next day's shipment was 45 pounds of couscous. If it takes 5 pounds of couscous to make a dish, how many dishes did the restaurant make?","The first two shipments of couscous added up to 7 + 13 = <<7+13=20>>20 pounds
Adding that weight to the next day’s shipment results in a total weight of 20 + 45 = <<20+45=65>>65 pounds
Since each dish takes 5 pounds, then the restaurant makes 65/5 = <<65/5=13>>13 dishes
#### 13","Question: A Moroccan restaurant received 3 different shipments of couscous. The first two shipments of 7 and 13 pounds arrived on the same day. The next day's shipment was 45 pounds of couscous. If it takes 5 pounds of couscous to make a dish, how many dishes did the restaurant make?","A)
Question: A Moroccan eatery received 3 distinct consignments of couscous. The opening two deliveries of 7 and 13 pounds appeared on the equivalent day. The following day's cargo was 45 pounds of couscous. If it requires 5 pounds of couscous to craft a meal, how many meals did the eatery create?

B)
Question: A Moroccan diner obtained 3 separate cargos of couscous. The initial two transfers of 7 and 13 pounds landed on the same calendar day. The subsequent day's batch was 45 pounds of couscous. Assuming 5 pounds of couscous is needed to prepare a dish, how many dishes did the diner prepare?

C)
Question: A Moroccan bistro gained 3 individual batches of couscous. The first couple of shipments totaling 7 and 13 pounds occurred on an identical day. The ensuing day's consignment was 45 pounds of couscous. Given it necessitates 5 pounds of couscous to concoct a plate, how many plates did the bistro concoct?

D)
Question: A Moroccan dining plaza obtained 3 several parcels of couscous. The first pair of deliveries weighing 7 and 13 pounds were received on the same day. The next day's freight was 45 pounds of couscous. If 5 pounds of couscous is required to devise a course, how many courses did the dining plaza devise?","Question: A Moroccan eatery received 3 distinct consignments of couscous. The opening two deliveries of 7 and 13 pounds appeared on the equivalent day. The following day's cargo was 45 pounds of couscous. If it requires 5 pounds of couscous to craft a meal, how many meals did the eatery create?","Question: A Moroccan diner obtained 3 separate cargos of couscous. The initial two transfers of 7 and 13 pounds landed on the same calendar day. The subsequent day's batch was 45 pounds of couscous. Assuming 5 pounds of couscous is needed to prepare a dish, how many dishes did the diner prepare?","Question: A Moroccan bistro gained 3 individual batches of couscous. The first couple of shipments totaling 7 and 13 pounds occurred on an identical day. The ensuing day's consignment was 45 pounds of couscous. Given it necessitates 5 pounds of couscous to concoct a plate, how many plates did the bistro concoct?","Question: A Moroccan dining plaza obtained 3 several parcels of couscous. The first pair of deliveries weighing 7 and 13 pounds were received on the same day. The next day's freight was 45 pounds of couscous. If 5 pounds of couscous is required to devise a course, how many courses did the dining plaza devise?",E,B,C,D
